Entidad federativa,2010,2011,2012,2013,2014,2015
Estados Unidos Mexicanos,74.75,74.91,75.01,75.04,74.95,74.71
Aguascalientes,75.32,75.55,75.79,75.8,75.68,75.43
Baja California,75.14,75.45,75.82,75.83,75.72,75.48
Baja California Sur,75.13,75.39,75.67,75.69,75.59,75.35
Campeche,74.5,74.55,74.48,74.53,74.44,74.21
Coahuila de Zaragoza,74.97,75.22,75.5,75.53,75.44,75.2
Colima,74.93,75.1,75.25,75.3,75.22,74.99
Chiapas,74.49,74.43,74.12,74.13,74.01,73.73
Chihuahua,74.79,75.02,75.26,75.28,75.17,74.92
Distrito Federal,75.53,75.96,76.46,76.49,76.41,76.19
Durango,74.55,74.73,74.89,74.94,74.85,74.61
Guanajuato,74.84,74.98,75.06,75.08,74.98,74.73
Guerrero,73.63,73.43,72.99,73.04,72.95,72.71
Hidalgo,74.64,74.78,74.87,74.9,74.81,74.58
Jalisco,75.04,75.19,75.32,75.35,75.25,75.01
Mexico,75.03,75.22,75.37,75.37,75.25,74.99
Michoacan de ocampo,74.43,74.56,74.61,74.66,74.59,74.35
Morelos,74.76,74.91,75,75.04,74.96,74.74
Nayarit,74.75,74.93,75.07,75.12,75.05,74.82
Nuevo leon,75.23,75.48,75.74,75.78,75.69,75.45
Oaxaca,73.87,73.94,73.87,73.92,73.85,73.61
Puebla,74.58,74.66,74.65,74.67,74.57,74.32
Queretaro,75.14,75.34,75.5,75.52,75.4,75.14
Quintana Roo,75.18,75.31,75.38,75.37,75.22,74.94
San Luis Potosí,74.58,74.67,74.65,74.69,74.6,74.37
Sinaloa,74.62,74.77,74.87,74.92,74.84,74.62
Sonora,74.74,74.95,75.16,75.2,75.11,74.88
Tabasco,74.67,74.79,74.84,74.87,74.77,74.53
Tamaulipas,74.79,74.94,75.04,75.07,74.98,74.74
Tlaxcala,74.88,75.01,75.09,75.12,75.01,74.76
Veracruz de Ignacio de la Llave,74.38,74.41,74.28,74.33,74.25,74.02
Yucatan,74.34,74.42,74.38,74.43,74.36,74.13
Zacatecas,74.61,74.74,74.8,74.84,74.76,74.53
